
Symbol table '.dynsym' contains 2394 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   156: 000255e0    23 FUNC    GLOBAL DEFAULT   12 __islower_l@@GLIBC_2.1
   157: 000aef30   220 FUNC    WEAK   DEFAULT   12 readdir@@GLIBC_2.0
   158: 00118420    77 FUNC    GLOBAL DEFAULT   12 xdr_uint32_t@@GLIBC_2.1
   159: 000faf00    14 FUNC    GLOBAL DEFAULT   12 htons@@GLIBC_2.0
   160: 000b4d80   622 FUNC    WEAK   DEFAULT   12 pathconf@@GLIBC_2.0
   161: 0002d280   103 FUNC    GLOBAL DEFAULT   12 sigrelse@@GLIBC_2.1
   162: 000300b0    78 FUNC    WEAK   DEFAULT   12 seed48_r@@GLIBC_2.0
   163: 0005f2e0  1481 FUNC    GLOBAL DEFAULT   12 psiginfo@@GLIBC_2.10
   164: 0010a6a0  1425 FUNC    GLOBAL DEFAULT   12 __nss_hostname_digits_dot@@GLIBC_2.2.2
   165: 000b38e0    41 FUNC    GLOBAL DEFAULT   12 execv@@GLIBC_2.0
   166: 0004a190    28 FUNC    GLOBAL DEFAULT   12 sprintf@@GLIBC_2.0
   167: 00068be0   261 FUNC    GLOBAL DEFAULT   12 _IO_putc@@GLIBC_2.0
   168: 000eacb0    66 FUNC    GLOBAL DEFAULT   12 nfsservctl@@GLIBC_2.0
   169: 0007c470   208 FUNC    GLOBAL DEFAULT   12 envz_merge@@GLIBC_2.0
   170: 000ac200    42 FUNC    WEAK   DEFAULT   12 strftime_l@@GLIBC_2.3
   171: 000220a0  1932 FUNC    GLOBAL DEFAULT   12 setlocale@@GLIBC_2.0
   172: 0007ad00    37 FUNC    GLOBAL DEFAULT   12 memfrob@@GLIBC_2.0
   173: 00094670   481 FUNC    WEAK   DEFAULT   12 mbrtowc@@GLIBC_2.0
   174: 0002f650   105 FUNC    WEAK   DEFAULT   12 srand@@GLIBC_2.0
   175: 000ee5d0   121 FUNC    WEAK   DEFAULT   12 iswcntrl_l@@GLIBC_2.3
   176: 0011d8b0   173 FUNC    WEAK   DEFAULT   12 getutid_r@@GLIBC_2.0
   177: 000b3d00  1192 FUNC    WEAK   DEFAULT   12 execvpe@@GLIBC_2.11
   178: 000edab0   164 FUNC    WEAK   DEFAULT   12 iswblank@@GLIBC_2.1
   179: 00076530     2 FUNC    GLOBAL DEFAULT   12 tr_break@@GLIBC_2.0
   180: 000f7160    95 FUNC    GLOBAL DEFAULT   12 __libc_pthread_init@@GLIBC_PRIVATE
   181: 000f9fd0   267 FUNC    GLOBAL DEFAULT   12 __vfwprintf_chk@@GLIBC_2.4
   182: 00063d30   164 FUNC    GLOBAL DEFAULT   12 fgetws_unlocked@@GLIBC_2.2
   183: 000d9790   125 FUNC    WEAK   DEFAULT   12 __write@@GLIBC_2.0
   184: 000e2270   149 FUNC    GLOBAL DEFAULT   12 __select@@GLIBC_2.0
   185: 000ee180   109 FUNC    GLOBAL DEFAULT   12 towlower@@GLIBC_2.0
   186: 000db010   902 FUNC    WEAK   DEFAULT   12 ttyname_r@@GLIBC_2.0
   187: 00061170    35 FUNC    GLOBAL DEFAULT   12 fopen@@GLIBC_2.1
   188: 00122fd0   140 FUNC    GLOBAL DEFAULT   12 fopen@GLIBC_2.0
   189: 000d3840    97 FUNC    GLOBAL DEFAULT   12 gai_strerror@@GLIBC_2.1
   190: 000ef040   456 FUNC    GLOBAL DEFAULT   12 fgetspent@@GLIBC_2.0
   191: 00077ca0   467 FUNC    GLOBAL DEFAULT   12 strsignal@@GLIBC_2.0
   192: 00093d10   205 FUNC    WEAK   DEFAULT   12 wcsncpy@@GLIBC_2.0
   193: 00127c70    69 FUNC    GLOBAL DEFAULT   12 getnetbyname_r@GLIBC_2.0
   194: 00077820    82 IFUNC   GLOBAL DEFAULT   12 strncmp@@GLIBC_2.0
   195: 000fcd80   630 FUNC    GLOBAL DEFAULT   12 getnetbyname_r@@GLIBC_2.1.2
   196: 000fd500   190 FUNC    GLOBAL DEFAULT   12 getprotoent_r@@GLIBC_2.1.2
   197: 001169e0    17 FUNC    GLOBAL DEFAULT   12 svcfd_create@@GLIBC_2.0
   198: 000e3f90    64 FUNC    WEAK   DEFAULT   12 ftruncate@@GLIBC_2.0
   199: 00127d10    38 FUNC    GLOBAL DEFAULT   12 getprotoent_r@GLIBC_2.0
   200: 000804d0    44 FUNC    GLOBAL DEFAULT   12 __strncpy_gg@@GLIBC_2.1.1
   201: 0010fa70   111 FUNC    GLOBAL DEFAULT   12 xdr_unixcred@@GLIBC_2.1
   202: 00027370    47 FUNC    WEAK   DEFAULT   12 dcngettext@@GLIBC_2.2
   203: 0010c780   118 FUNC    GLOBAL DEFAULT   12 xdr_rmtcallres@@GLIBC_2.0
   204: 00062950   455 FUNC    GLOBAL DEFAULT   12 _IO_puts@@GLIBC_2.0
   205: 001070a0   266 FUNC    GLOBAL DEFAULT   12 inet_nsap_addr@@GLIBC_2.0
   206: 00106820   343 FUNC    WEAK   DEFAULT   12 inet_aton@@GLIBC_2.0
